termo,definicion
berilio,"Sb. Be. Elemento químico de número atómico 4, descuberto no 1798, por L. N. Vauquelin. O berilio natural está constituído de forma exclusiva polo isótopo Be-9, pero coñécense 9 isótopos artificiais máis. É un metal de cor branca aceirada e crebadizo a temperatura ambiente. Moitos usos industriais do berilio derivan de ser este un metal lixeiro, cun alto punto de fusión e de presentar boas propiedades mecánicas, sendo un bo conductor da electricidade. MA. 9,012 1 u; Pf. 1287 ºC; Peb. 2469 ºC;  1848 kgm-3."
berkelio,"Sb. Bk. Elemento químico de número atómico 97, descuberto no 1949, por S. G. Thompson, A. Ghiorso, e G. T. Seaborg. Todos os seus 20 isótopos son radioactivos, sendo o Bk-247 o de máis vida media: 1380 anos. MA. 247 u."
"Bernouilli, ecuación de","V. Bernouilli, teorema de."
"Bernouilli, efecto de",V. efecto Venturi.
"Bernouilli, teorema de","Unha das bases teóricas máis importantes da hidrodinámica. Foi enunciado polo matemático Daniel Bernouilli (1700-1782) en 1738 e di que nun fluído incompresible e non viscoso en movemento, con réxime estacionario baixo a acción da gravidade, a suma das enerxías de presión, potencial e cinética é constante para os diversos puntos dunha liña de corrente. Matematicamente pódese resumir o anterior na ecuaciónque representa as citadas enerxías por unidade de volume. Se dividimos cada termo da ecuación de Bernouilli por g obtense queexpresión que se pode interpretar en función das distintas alturas respecto a un plano de referencia para o tubo de corrente. O primeiro termo coñecese como altura de presión, o segundo como altura potencial, a suma dos dous como altura estática e o terceiro como altura dinámica."
"Bernoulli, leis de","En acústica, conxunto de leis, enunciadas polo médico e matemático Johann Bernoulli (1667-1748), referidas ao son obtido nun tubo sonoro. Estas leis establecen que: a frecuencia do son fundamental obtido nun tubo é directamente proporcional á velocidade de propagación do son no gas do seu interior (1ª lei) e inversamente proporcional á lonxitude do tubo (2ª lei); en tubos idénticos e co mesmo gas, pero un aberto e outro pechado, óbtense no aberto un son de frecuencia dobre que no pechado, ou sexa, unha octava máis aguda (3ª lei); nun tubo aberto pódense obter o son fundamental e toda a serie de harmónicos correspondentes, mentres que nun tubo pechado só se pode obter o son fundamental e os harmónicos de frecuencia impar da fundamental (4ª lei). V. Kundt, tubo de."
"Bernoulli, variable de","Variable aleatoria que só pode ter un de dous valores posibles, mutuamente incompatibles (como por exemplo 0 e 1)."
"Berthelot, ecuación de estado de","Expresión alxébrica formulada por P.E.M. Berthelot (1827-1907) que relaciona a presión, o volume e a temperatura dun gas real do seguinte xeito  onde a e b son parámetros propios de cada gas. Non é moi usada por ser menos exacta que a ecuación de estado de Van der Waals cando as presións son altas."
betatron,"Acelerador de electróns, partículas constituindes dos raios beta, de aí o nome. Os electróns son inxectados no interior dunha canle baleira colocada no entreferro dun electroimán. O campo magnético creado polo electroimán, segundo determinadas condicións, mantén aos electróns nunha traxectoria circular de radio calculable e crea, por inducción electromagnética, un campo eléctrico tanxente á traxectoria desas partículas e, polo tanto, capaz de acelerar aos electróns."
"Bethe, ciclo de",Ciclo CNO.
biela,Barra que nas máquinas serve para transformar un movemento de vaivén noutro de rotación ou viceversa. V. acoplador.
Big Bang,"Nome en inglés que recibe o modelo da Gran Explosión. Foi dado polo astrónomo Fred Hoyle, precisamente un dos poucos científicos que non admite este modelo. Hoyle empregou a expresión, anticipándose aos partidarios dun universo evolutivo, ridiculizándoa ao xogar co dobre significado do termo bang (explosión, pero tamén esbardalle e outras acepcións)."
Big Crunch,Colapso Final.
binarias espectroscópicas,V. sistemas múltiples.
binarias físicas,V. sistemas múltiples.
binarias fotométricas,V. sistemas múltiples.
binarias visuais,"Par de estrelas que, vistas dende a Terra, vense moi próximas na esfera celeste pero que non gardan relación algunha entre si, podendo estar moi afastadas unha da outra. V. sistemas múltiple."
"Binet, fórmula de","Fórmula que proporciona o valor da forza central que provoca o movemento dun corpo e que permite deducir a ecuación da súa traxectoria, especialmente cando dita forza é función única e exclusivamente da distancia do corpo á orixe do campo."
"Bingham, fluído de","Fluído non newtoniano independente do tempo, que precisa dun gran esforzo cortante para que empece a fluír e no que a viscosidade non varía practicamente nada co gradiente de velocidade unha vez que empeza a fluír. Substancias que se comportan deste xeito son a pasta de dentes, a maionesa ou a pintura. V. fluídos."
"Bingham, picnómetro de","Recipiente de capacidade coñecida exactamente empregado para medir densidades de líquidos. Para elo é preciso medir a masa do líquido cun erro de 0,1 mg."
binoculares,Aparello óptico que permite a visión cos dous ollos. V. prismáticos; telescopio; microscopio.
binormal,"Sb. . Vector unitario resultado de multiplicar vectorialmente os vectores unitarios na dirección da aceleración normal e da aceleración tanxencial, tal que . Como consecuencia, o binormal é un vector perpendicular ao plano osculador.V. Frenet-Sarrus, triedro de."
biofísica,Parte da física que estudia os diferentes mecanismos e fundamentos físicos dos seres vivos.
bioluminiscencia,"Luminiscencia na que a enerxía subministrada procede de reaccións químicas nas que participan substancias orgánicas, como a luciferina e outras presentes en seres vivos. A luminiscencia dáse nalgúns insectos, como os vagalumes ou vellas das papas, e nalgúns animais oceánicos, como medusas e moluscos. V. quimioluminiscencia."
BIOS,"Acrónimo de Basic Input-Output System (Sistema básico de entrada-saída). Conxunto de programas dun ordenador que traballan en contacto co hardware do sistema. Nun PC está almacenado en memoria flash, memoria ROM, ou nunha mestura  de ambas."
biot,Unidade de intensidade de corrente eléctrica no sistema c.g.s. 1 biot equivale a 10 A.
"Biot, lei de","Lei que leva o nome do físico Jean Baptiste Biot (1774-1862) e que establece que o poder rotatorio dun corpo sólido, , é directamente proporcional ao espesor da substancia atravesada pola luz polarizada, e, e á súa densidade, , segundo a ecuación =[]·e·. A constante de proporcionalidade, [], é o chamado poder rotatorio específico, característico de cada substancia.V. polarización da luz; polarización rotatoria."
"Biot-Savart, lei de","Relaciona a inducción magnética nun punto coa corrente que a produce. Na súa forma diferencialOnderepresenta a inducción magnética no punto, i a intensidade de corrente que circula polo conductor,un diferencial de lonxitude no sentido da corrente, r a distancia do punto ao elemento diferencial ea permeabilidade. 0figura0."
"Birkhoff, teorema de","V. Gauss, teorema de."
birrefrinxencia,"Propiedade dos medios anisótropos, con cristais que non pertencen ao sistema regular, pola cal un raio de luz que atravesa o cristal sofre un desdobramento en dous raios, un chamado ordinario e outro extraordinario, debido á refracción. O raio ordinario propágase, segundo indican as leis da refracción, en función do indice de refracción do cristal respecto ao primeiro medio, sendo este último independente do ángulo de incidencia (sen i/sen r=n=cte). Sen embargo, a velocidade de propagación do raio extraordinario depende da dirección de propagación, ou o que é o mesmo, o índice de refracción para este segundo raio depende do ángulo de incidencia (sen i/sen r =nr=f(i)), producíndose o desdobramento agás na dirección do eixe óptico do cristal. O espato de Islandia é un exemplo típico de cristal birrefrinxente. Tanto o raio ordinario como o extraordinario están polarizados linealmente e os seus respectivos planos de vibración son perpendiculares."
birrefrinxencia eléctrica,"V. Kerr, efecto."
bismuto,"Sb. Bi. Elemento químico de número atómico 53, coñecido dende a Idade Media. O bismuto natural está constituído de forma exclusiva polo isótopo Bi-209, pero coñécense 31 isótopos artificiais máis. É un metal branco crebadizo e fortemente diamagnético. Os seus sales teñen diversas aplicacións en medicina. MA. 208,980 37 u; Pf. 271,4 ºC; Peb. 1564 ºC;  9747 kgm-3."
bit,"Abreviatura de Binary Digit. 1. Un dos díxitos utilizados no sistema de base dous, isto é 0 ou 1."
bit,A mínima cantidade de información que se pode transmitir ou almacenar.
"Blasius, ecuación de",Expresión empírica que proporciona o valor do factor de fricción de Fanning en conduccións lisas: Onde Re
Bluetooth,"En informática, estándar de comunicacións inalámbricas. Permite conexións sen cables entre ordenadores persoais, impresoras, teléfonos móbiles, cámaras dixitais, etc. O rango de acción e de 10 metros e soporta unha velocidade de transmisión de 1 Mbps. V. IEEE."
bobina,Fío conductor illado e enrolado sobre un núcleo que pode ser de ferro ou simplemente de aire.
bobina de inducción,"Dispositivo, antecesor do transformador, desenvolvido nos anos 1820s para producir correntes alternas de tensións elevadas e baixa intensidade a partir de correntes continuas de baixa tensión e elevada intensidade. Consta de dúas bobinas, unha delas, que constitúe o chamado circuíto secundario, con moitas más espiras que a outra, a que forma o primario. A rápida apertura e peche do circuíto primario induce no secundario unha corrente alterna de moi alta tensión e baixa intensidade. V. Rühmkorff, carrete de."
"Bode, lei de","Lei que, ata o s. XIX, pretendía recoller unha certa regularidade na distancia dos planetas ao Sol, establecendo que esta, expresada en unidades astronómicas, viña dada pola expresión (n+4)/10, sendo n un número enteiro da sucesión 0, 3, 6, 12, 24, 48,....Certamente, as distancias medias dos planetas coñecidos dende a antigüidade, correspóndense coas calculadas por esa expresión para os números n (0, 3, 6, 12, 48, 96) e a de Urano, descuberto no 1781, viña dada pola expresión, para n=192. Pero os descubrimentos de Neptuno e Plutón, que para nada se correspondían con esta expresión, e o feito de que non haxa un planeta para o valor de n=24, restou credibilidade a esta lei que leva o nome en lembranza do astrónomo Johann Bode (1747-1826)."
